State,FIPS code,LSAD (unusual),LSAD (unusual),20 (barrio),21 (Borough),22 (CCS),23 (Census subarea),24 (Subdistrict),25 (City),26 (County),27 (District),28 (District),29 (Precinct),30 (Precinct),31 (Gore),32 (Grant),36 (Location),37 (Municipality),39 (plantation),41 (barrio-pueblo),42 (Purchase),43 (Town),44 (Township),45 (Township),"46 (UT, stat)",47 (Village),49 (Charter Township),86 (Reservation)
Alabama,01,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Alaska,02,37 (Anchorage),,,,,x,,,,,,,,,,,,,,,,,,,,,
American Samoa,03*,00 (Rose & Swain Islands),,,,,,,,x,,,,,,,,,,,,,,,,,,
Arizona,04,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Arkansas,05,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,
California,06,,,,,x, ,,,,,,,,,,,,,,,,,,,,,
Canal Zone,07,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Colorado,08,,,,,x,,,,,,,,,,,,,,,,x,,,,,,
Connecticut,09,00 (County Subdivisions not defined),,,,,,,,,,,,,,,,,,,,x,,,,,,
Delaware,10,,,,,,,,x,,,,,,,,,,,,,,,,,,,
DC,11,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Florida,12,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Georgia,13,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Guam,14*,00 (offshore areas),,,,,,,,,,,,,,,,x,,,,,,,,,,
Hawaii,15,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Idaho,16,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Illinois,17,00 (County Subdivisions not defined),,,,,,,x,,,,x,x,,,,,,,,,x,,,,,
Indiana,18,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,
Iowa,19,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,
Kansas,20,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,
Kentucky,21,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Louisiana,22,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Maine,23,,,,,,,,x,,,,,,x,,,,x,,,x,,,x,,,x
Maryland,24,,,,,,,,x,,,x,,,,,,,,,,,,,,,,
Massachusetts,25,00 (County Subdivisions not defined),,,,,,,x,,,,,,,,,,,,,x,,,,,,
Michigan,26,00 (County Subdivisions not defined),,,,,,,x,,,,,,,,,,,,,,x,,,,x,
Minnesota,27,00 (County Subdivisions not defined),,,,,,,x,,,,,,,,,,,,,,x,x,x,,,
Mississippi,28,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Missouri,29,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
Montana,30,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Nebraska,31,,,,,,,,x,,,x,x,x,,,,,,,,,x,x,,,,
Nevada,32,,,,,x,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,33,00 (County Subdivisions not defined),,,,,,,x,,,,,,,x,x,,,,x,x,x,,,,,
New Jersey,34,00 (County Subdivisions not defined),,,x,,,,x,,,,,,,,,,,,,x,x,,,,,
New Mexico,35,,,,,x,,,,,,,,,,,,,,,,,,,,,,
New York,36,00 (County Subdivisions not defined),,,x,,,,x,,,,,,,,,,,,,x,,,x,,,x
